date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-01-01;-70.00;SEK;-70.00;OUT;6570;BANK_FEE;;Månadsavgift Företagskonto;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-02;13764.63;SEK;13764.63;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B12319685833;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-02;3411.61;SEK;3411.61;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01019707261;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-05;4525.12;SEK;4525.12;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01059767400;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-07;4274.49;SEK;4274.49;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01079801854;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-07;5187.01;SEK;5187.01;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01069781423;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-07;12385.00;SEK;12385.00;IN;3051;SALES;;Swish sales lunar;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-07;-248.00;SEK;-248.00;OUT;6570;TERMINAL_FEE;3306016;card terminal;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-08;4983.26;SEK;4983.26;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01089820788;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-08;2600.00;SEK;2600.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;ÖVERFÖRING;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-08;-85720.00;SEK;-85720.00;OUT;1944;INTERNAL_WISE;55250500;Till wise;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-09;1882.69;SEK;1882.69;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01099844174;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-09;-7500.00;SEK;-7500.00;OUT;1944;INTERNAL_WISE;55250500;WISE EUROPE SA;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;1294.00;SEK;1294.00;IN;3051;SALES_FALLBACK;6641229;0006641229;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;2230.42;SEK;2230.42;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01129913847;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;3068.93;SEK;3068.93;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01119895474;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;1235.93;SEK;1235.93;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01109871141;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;-1863.00;SEK;-1863.00;OUT;5700;FREIGHT;9423047;SCHENKER AB;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-12;-82.00;SEK;-82.00;OUT;5700;FREIGHT;9423047;SCHENKER AB;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-14;1867.58;SEK;1867.58;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01149951988;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-15;396.41;SEK;396.41;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01159978317;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-16;7048.00;SEK;7048.00;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;SWISH SALES;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-16;1848.92;SEK;1848.92;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01160005483;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-16;637.65;SEK;637.65;IN;2893;OWNER_LOAN_2893_NORDEA;92356405879;Privat konto;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-19;1066.07;SEK;1066.07;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01190076678;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-19;-569.00;SEK;-569.00;OUT;6212;MOBILE_SUBSCRIPTION;47460035;Mobil abbonmang;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-19;1978.25;SEK;1978.25;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01170031005;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-20;394.14;SEK;394.14;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01200091424;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-21;1484.31;SEK;1484.31;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01210114816;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-21;-560.00;SEK;-560.00;OUT;5800;PARKING_TRAVEL;9453036;Parkirng;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-22;1368.96;SEK;1368.96;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01220140280;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-22;-23400.00;SEK;-23400.00;OUT;1944;INTERNAL_WISE;55250500;Wise;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-26;3031.64;SEK;3031.64;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01260240243;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-26;5249.78;SEK;5249.78;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01240194434;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;2350.63;SEK;2350.63;IN;1947;WORLDLINE_PAYOUT_TO_1930;92356405879;B01270256020;Worldline payout (B-rad) -> intern överföring 1947 -> 1930;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-248.00;SEK;-248.00;OUT;6570;TERMINAL_FEE;3306016;Card terminal;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-171.00;SEK;-171.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-2016.00;SEK;-2016.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-275.00;SEK;-275.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-94.71;SEK;-94.71;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
2026-01-27;-94.00;SEK;-94.00;OUT;5700;FREIGHT;9423047;Frakt;;NO;Marginalen 2026-01-01-2026-03-31.csv
